concept_id,wave_id,q_id,option_id,concept_option_id
attr_nivel_max_estudios,2022,cp8_1,9999,attr_nivel_max_estudios:9999
attr_nivel_max_estudios,2024,cp8,0,attr_nivel_max_estudios:0
attr_nivel_max_estudios,2024,cp8,1,attr_nivel_max_estudios:1
attr_nivel_max_estudios,2024,cp8,2,attr_nivel_max_estudios:2
attr_nivel_max_estudios,2024,cp8,3,attr_nivel_max_estudios:3
attr_nivel_max_estudios,2024,cp8,4,attr_nivel_max_estudios:4
attr_nivel_max_estudios,2024,cp8,5,attr_nivel_max_estudios:5
attr_nivel_max_estudios,2024,cp8,6,attr_nivel_max_estudios:6
attr_nivel_max_estudios,2024,cp8,7,attr_nivel_max_estudios:7
attr_nivel_max_estudios,2024,cp8,8,attr_nivel_max_estudios:8
attr_nivel_max_estudios,2024,cp8,9,attr_nivel_max_estudios:9
attr_nivel_max_estudios,2024,cp8,10,attr_nivel_max_estudios:10
attr_nivel_max_estudios,2024,cp8,11,attr_nivel_max_estudios:11
attr_nivel_max_estudios,2024,cp8,12,attr_nivel_max_estudios:12
attr_nivel_max_estudios,2024,cp8,13,attr_nivel_max_estudios:13
attr_nivel_max_estudios,2024,cp8,14,attr_nivel_max_estudios:14
attr_nivel_max_estudios,2024,cp8,8888,attr_nivel_max_estudios:8888
attr_nivel_max_estudios,2024,cp8,9999,attr_nivel_max_estudios:9999
attr_nivel_max_estudios,2025,cp8,0,attr_nivel_max_estudios:0
attr_nivel_max_estudios,2025,cp8,1,attr_nivel_max_estudios:1
attr_nivel_max_estudios,2025,cp8,2,attr_nivel_max_estudios:2
attr_nivel_max_estudios,2025,cp8,3,attr_nivel_max_estudios:3
attr_nivel_max_estudios,2025,cp8,4,attr_nivel_max_estudios:4
attr_nivel_max_estudios,2025,cp8,5,attr_nivel_max_estudios:5
attr_nivel_max_estudios,2025,cp8,6,attr_nivel_max_estudios:6
attr_nivel_max_estudios,2025,cp8,7,attr_nivel_max_estudios:7
attr_nivel_max_estudios,2025,cp8,8,attr_nivel_max_estudios:8
attr_nivel_max_estudios,2025,cp8,9,attr_nivel_max_estudios:9
attr_nivel_max_estudios,2025,cp8,10,attr_nivel_max_estudios:10
attr_nivel_max_estudios,2025,cp8,11,attr_nivel_max_estudios:11
attr_nivel_max_estudios,2025,cp8,12,attr_nivel_max_estudios:12
attr_nivel_max_estudios,2025,cp8,13,attr_nivel_max_estudios:13
attr_nivel_max_estudios,2025,cp8,14,attr_nivel_max_estudios:14
attr_nivel_max_estudios,2025,cp8,8888,attr_nivel_max_estudios:8888
attr_nivel_max_estudios,2025,cp8,9999,attr_nivel_max_estudios:9999
attr_nivel_max_estudios,2023,cp8,0,attr_nivel_max_estudios:0
attr_nivel_max_estudios,2023,cp8,1,attr_nivel_max_estudios:1
attr_nivel_max_estudios,2023,cp8,2,attr_nivel_max_estudios:2
attr_nivel_max_estudios,2023,cp8,3,attr_nivel_max_estudios:3
attr_nivel_max_estudios,2023,cp8,4,attr_nivel_max_estudios:4
attr_nivel_max_estudios,2023,cp8,5,attr_nivel_max_estudios:5
attr_nivel_max_estudios,2023,cp8,6,attr_nivel_max_estudios:6
attr_nivel_max_estudios,2023,cp8,7,attr_nivel_max_estudios:7
attr_nivel_max_estudios,2023,cp8,8,attr_nivel_max_estudios:8
attr_nivel_max_estudios,2023,cp8,9,attr_nivel_max_estudios:9
attr_nivel_max_estudios,2023,cp8,10,attr_nivel_max_estudios:10
attr_nivel_max_estudios,2023,cp8,11,attr_nivel_max_estudios:11
attr_nivel_max_estudios,2023,cp8,12,attr_nivel_max_estudios:12
attr_nivel_max_estudios,2023,cp8,13,attr_nivel_max_estudios:13
attr_nivel_max_estudios,2023,cp8,14,attr_nivel_max_estudios:14
attr_nivel_max_estudios,2023,cp8,8888,attr_nivel_max_estudios:8888
attr_nivel_max_estudios,2023,cp8,9999,attr_nivel_max_estudios:9999
attr_sexo,2025,cp2,0,attr_sexo:0
attr_sexo,2025,cp2,1,attr_sexo:1
attr_sexo,2025,cp2,9999,attr_sexo:9999
attr_sexo,2023,cp2,0,attr_sexo:0
attr_sexo,2023,cp2,1,attr_sexo:1
attr_sexo,2023,cp2,9999,attr_sexo:9999
attr_sexo,2024,cp2,0,attr_sexo:0
attr_sexo,2024,cp2,1,attr_sexo:1
attr_sexo,2024,cp2,9999,attr_sexo:9999
attr_tipo_consulta,2022,p78,1,attr_tipo_consulta:1
attr_tipo_consulta,2022,p78,2,attr_tipo_consulta:2
attr_tipo_consulta,2022,p78,3,attr_tipo_consulta:3
attr_tipo_consulta,2022,p78,7777,attr_tipo_consulta:7777
attr_tipo_consulta,2022,p78,8888,attr_tipo_consulta:8888
attr_tipo_consulta,2022,p78,9999,attr_tipo_consulta:9999
attr_tipo_consulta,2021,p63,1,attr_tipo_consulta:1
attr_tipo_consulta,2021,p63,2,attr_tipo_consulta:2
attr_tipo_consulta,2021,p63,3,attr_tipo_consulta:3
attr_tipo_consulta,2021,p63,8,attr_tipo_consulta:8888
attr_tipo_consulta,2021,p63,9,attr_tipo_consulta:9999
attr_tipo_consulta,2023,p83,1,attr_tipo_consulta:1
attr_tipo_consulta,2023,p83,2,attr_tipo_consulta:2
attr_tipo_consulta,2023,p83,3,attr_tipo_consulta:3
attr_tipo_consulta,2023,p83,7777,attr_tipo_consulta:7777
attr_tipo_consulta,2023,p83,8888,attr_tipo_consulta:8888
attr_tipo_consulta,2023,p83,9999,attr_tipo_consulta:9999
attr_tipo_consulta,2024,p89,1,attr_tipo_consulta:1
attr_tipo_consulta,2024,p89,2,attr_tipo_consulta:2
attr_tipo_consulta,2024,p89,3,attr_tipo_consulta:3
attr_tipo_consulta,2024,p89,8888,attr_tipo_consulta:8888
attr_tipo_consulta,2024,p89,9999,attr_tipo_consulta:9999
attr_tipo_consulta,2025,p100,1,attr_tipo_consulta:1
attr_tipo_consulta,2025,p100,2,attr_tipo_consulta:2
