respondent_id,is_initial_respondent,nombre,factor_cvnl,city_id
1_1,True,,258.2655334,9
1_2,False,,258.2655334,9
2_1,True,,273.0114441,9
2_2,False,,273.0114441,9
2_3,False,,273.0114441,9
3_1,True,,258.2655334,9
3_2,False,,258.2655334,9
3_3,False,,258.2655334,9
3_4,False,,258.2655334,9
4_1,True,,273.0114441,9
4_2,False,,273.0114441,9
5_1,True,,273.0114441,9
6_1,True,,1013.601074,21
6_2,False,,1013.601074,21
6_3,False,,1013.601074,21
6_4,False,,1013.601074,21
6_5,False,,1013.601074,21
7_1,True,,666.6879883,4
7_2,False,,666.6879883,4
7_3,False,,666.6879883,4
7_4,False,,666.6879883,4
8_1,True,,1480.23999,26
8_2,False,,1480.23999,26
8_3,False,,1480.23999,26
9_1,True,,666.6879883,35
10_1,True,,2537.585693,39
11_1,True,,777.2303467,18
11_2,False,,777.2303467,18
11_3,False,,777.2303467,18
11_4,False,,777.2303467,18
12_1,True,,1480.23999,26
12_2,False,,1480.23999,26
12_3,False,,1480.23999,26
12_4,False,,1480.23999,26
12_5,False,,1480.23999,26
12_6,False,,1480.23999,26
13_1,True,,337.8926697,19
13_2,False,,337.8926697,19
13_3,False,,337.8926697,19
14_1,True,,1480.23999,26
14_2,False,,1480.23999,26
15_1,True,,106.0568237,49
15_2,False,,106.0568237,49
15_3,False,,106.0568237,49
15_4,False,,106.0568237,49
16_1,True,,963.7158813,31
16_2,False,,963.7158813,31
16_3,False,,963.7158813,31
16_4,False,,963.7158813,31
17_1,True,,258.2655334,9
17_2,False,,258.2655334,9
18_1,True,,663.3157959,7
19_1,True,,301.1954041,19
19_2,False,,301.1954041,19
19_3,False,,301.1954041,19
20_1,True,,1429.022583,6
20_2,False,,1429.022583,6
21_1,True,,777.2303467,18
21_2,False,,777.2303467,18
21_3,False,,777.2303467,18
21_4,False,,777.2303467,18
21_5,False,,777.2303467,18
22_1,True,,663.3157959,32
22_2,False,,663.3157959,32
23_1,True,,659.7180786,25
23_2,False,,659.7180786,25
23_3,False,,659.7180786,25
23_4,False,,659.7180786,25
24_1,True,,777.2303467,18
24_2,False,,777.2303467,18
24_3,False,,777.2303467,18
24_4,False,,777.2303467,18
24_5,False,,777.2303467,18
24_6,False,,777.2303467,18
25_1,True,,802.7727051,18
25_2,False,,802.7727051,18
25_3,False,,802.7727051,18
26_1,True,,777.2303467,18
26_2,False,,777.2303467,18
26_3,False,,777.2303467,18
27_1,True,,777.2303467,18
28_1,True,,963.7158813,31
28_2,False,,963.7158813,31
29_1,True,,963.3539429,31
29_2,False,,963.3539429,31
29_3,False,,963.3539429,31
30_1,True,,663.3157959,44
31_1,True,,691.5112915,12
31_2,False,,691.5112915,12
32_1,True,,301.1954041,19
32_2,False,,301.1954041,19
32_3,False,,301.1954041,19
33_1,True,,1015.954529,46
33_2,False,,1015.954529,46
33_3,False,,1015.954529,46
33_4,False,,1015.954529,46
33_5,False,,1015.954529,46
34_1,True,,1429.022583,6
35_1,True,,337.8926697,19
35_2,False,,337.8926697,19
35_3,False,,337.8926697,19
36_1,True,,777.2303467,18
36_2,False,,777.2303467,18
36_3,False,,777.2303467,18
37_1,True,,1480.23999,26
37_2,False,,1480.23999,26
38_1,True,,659.7180786,25
38_2,False,,659.7180786,25
38_3,False,,659.7180786,25
38_4,False,,659.7180786,25
39_1,True,,301.1954041,19
39_2,False,,301.1954041,19
40_1,True,,1429.022583,6
41_1,True,,962.1404419,46
41_2,False,,962.1404419,46
41_3,False,,962.1404419,46
41_4,False,,962.1404419,46
41_5,False,,962.1404419,46
42_1,True,,659.7180786,41
42_2,False,,659.7180786,41
42_3,False,,659.7180786,41
42_4,False,,659.7180786,41
43_1,True,,659.7180786,41
43_2,False,,659.7180786,41
43_3,False,,659.7180786,41
44_1,True,,2537.585693,39
44_2,False,,2537.585693,39
44_3,False,,2537.585693,39
44_4,False,,2537.585693,39
45_1,True,,258.2655334,9
45_2,False,,258.2655334,9
46_1,True,,106.0568237,49
46_2,False,,106.0568237,49
46_3,False,,106.0568237,49
47_1,True,,663.3157959,32
47_2,False,,663.3157959,32
47_3,False,,663.3157959,32
48_1,True,,1480.23999,26
48_2,False,,1480.23999,26
48_3,False,,1480.23999,26
48_4,False,,1480.23999,26
49_1,True,,1480.23999,26
49_2,False,,1480.23999,26
49_3,False,,1480.23999,26
49_4,False,,1480.23999,26
50_1,True,,659.7180786,45
50_2,False,,659.7180786,45
50_3,False,,659.7180786,45
50_4,False,,659.7180786,45
50_5,False,,659.7180786,45
50_6,False,,659.7180786,45
51_1,True,,1407.310669,6
51_2,False,,1407.310669,6
51_3,False,,1407.310669,6
51_4,False,,1407.310669,6
51_5,False,,1407.310669,6
51_6,False,,1407.310669,6
51_7,False,,1407.310669,6
52_1,True,,675.8522949,48
52_2,False,,675.8522949,48
52_3,False,,675.8522949,48
52_4,False,,675.8522949,48
53_1,True,,659.7180786,10
53_2,False,,659.7180786,10
53_3,False,,659.7180786,10
53_4,False,,659.7180786,10
54_1,True,,777.2303467,18
54_2,False,,777.2303467,18
54_3,False,,777.2303467,18
54_4,False,,777.2303467,18
55_1,True,,1429.022583,6
55_2,False,,1429.022583,6
56_1,True,,666.6879883,38
56_2,False,,666.6879883,38
56_3,False,,666.6879883,38
57_1,True,,337.8926697,19
57_2,False,,337.8926697,19
57_3,False,,337.8926697,19
57_4,False,,337.8926697,19
57_5,False,,337.8926697,19
57_6,False,,337.8926697,19
57_7,False,,337.8926697,19
58_1,True,,337.8926697,19
58_2,False,,337.8926697,19
58_3,False,,337.8926697,19
59_1,True,,301.1954041,19
59_2,False,,301.1954041,19
59_3,False,,301.1954041,19
59_4,False,,301.1954041,19
59_5,False,,301.1954041,19
59_6,False,,301.1954041,19
59_7,False,,301.1954041,19
60_1,True,,663.3157959,30
60_2,False,,663.3157959,30
60_3,False,,663.3157959,30
60_4,False,,663.3157959,30
60_5,False,,663.3157959,30
61_1,True,,1407.310669,6
61_2,False,,1407.310669,6
62_1,True,,659.7180786,25
62_2,False,,659.7180786,25
62_3,False,,659.7180786,25
63_1,True,,963.7158813,31
63_2,False,,963.7158813,31
64_1,True,,659.7180786,41
64_2,False,,659.7180786,41
64_3,False,,659.7180786,41
64_4,False,,659.7180786,41
65_1,True,,675.8522949,48
65_2,False,,675.8522949,48
65_3,False,,675.8522949,48
65_4,False,,675.8522949,48
66_1,True,,963.7158813,31
66_2,False,,963.7158813,31
66_3,False,,963.7158813,31
67_1,True,,802.7727051,18
67_2,False,,802.7727051,18
67_3,False,,802.7727051,18
67_4,False,,802.7727051,18
67_5,False,,802.7727051,18
68_1,True,,258.2655334,9
68_2,False,,258.2655334,9
68_3,False,,258.2655334,9
69_1,True,,962.1404419,46
69_2,False,,962.1404419,46
70_1,True,,802.7727051,18
70_2,False,,802.7727051,18
71_1,True,,675.8522949,48
71_2,False,,675.8522949,48
72_1,True,,659.7180786,45
72_2,False,,659.7180786,45
72_3,False,,659.7180786,45
72_4,False,,659.7180786,45
73_1,True,,1407.310669,6
73_2,False,,1407.310669,6
73_3,False,,1407.310669,6
73_4,False,,1407.310669,6
74_1,True,,659.7180786,45
74_2,False,,659.7180786,45
74_3,False,,659.7180786,45
74_4,False,,659.7180786,45
75_1,True,,666.6879883,5
75_2,False,,666.6879883,5
75_3,False,,666.6879883,5
75_4,False,,666.6879883,5
75_5,False,,666.6879883,5
76_1,True,,663.3157959,11
77_1,True,,1013.601074,21
77_2,False,,1013.601074,21
77_3,False,,1013.601074,21
77_4,False,,1013.601074,21
77_5,False,,1013.601074,21
78_1,True,,1483.921753,26
78_2,False,,1483.921753,26
79_1,True,,963.3539429,31
79_2,False,,963.3539429,31
79_3,False,,963.3539429,31
80_1,True,,679.5336914,48
80_2,False,,679.5336914,48
81_1,True,,675.8522949,48
81_2,False,,675.8522949,48
81_3,False,,675.8522949,48
81_4,False,,675.8522949,48
82_1,True,,659.7180786,10
82_2,False,,659.7180786,10
82_3,False,,659.7180786,10
82_4,False,,659.7180786,10
82_5,False,,659.7180786,10
83_1,True,,1407.310669,6
83_2,False,,1407.310669,6
83_3,False,,1407.310669,6
83_4,False,,1407.310669,6
84_1,True,,777.2303467,18
84_2,False,,777.2303467,18
84_3,False,,777.2303467,18
85_1,True,,777.2303467,18
85_2,False,,777.2303467,18
85_3,False,,777.2303467,18
85_4,False,,777.2303467,18
86_1,True,,1034.289795,21
86_2,False,,1034.289795,21
86_3,False,,1034.289795,21
86_4,False,,1034.289795,21
86_5,False,,1034.289795,21
87_1,True,,802.7727051,18
87_2,False,,802.7727051,18
87_3,False,,802.7727051,18
87_4,False,,802.7727051,18
88_1,True,,1015.954529,46
88_2,False,,1015.954529,46
88_3,False,,1015.954529,46
88_4,False,,1015.954529,46
88_5,False,,1015.954529,46
89_1,True,,2808.141113,39
89_2,False,,2808.141113,39
89_3,False,,2808.141113,39
89_4,False,,2808.141113,39
89_5,False,,2808.141113,39
90_1,True,,1429.022583,6
90_2,False,,1429.022583,6
90_3,False,,1429.022583,6
90_4,False,,1429.022583,6
90_5,False,,1429.022583,6
91_1,True,,659.7180786,41
91_2,False,,659.7180786,41
91_3,False,,659.7180786,41
91_4,False,,659.7180786,41
92_1,True,,659.7180786,25
92_2,False,,659.7180786,25
92_3,False,,659.7180786,25
92_4,False,,659.7180786,25
92_5,False,,659.7180786,25
92_6,False,,659.7180786,25
93_1,True,,659.7180786,10
93_2,False,,659.7180786,10
93_3,False,,659.7180786,10
93_4,False,,659.7180786,10
94_1,True,,110.7352905,49
94_2,False,,110.7352905,49
94_3,False,,110.7352905,49
94_4,False,,110.7352905,49
95_1,True,,777.2303467,18
95_2,False,,777.2303467,18
95_3,False,,777.2303467,18
95_4,False,,777.2303467,18
95_5,False,,777.2303467,18
96_1,True,,1480.23999,26
96_2,False,,1480.23999,26
96_3,False,,1480.23999,26
96_4,False,,1480.23999,26
97_1,True,,1407.310669,6
97_2,False,,1407.310669,6
97_3,False,,1407.310669,6
97_4,False,,1407.310669,6
97_5,False,,1407.310669,6
98_1,True,,666.6879883,16
98_2,False,,666.6879883,16
99_1,True,,1483.921753,26
99_2,False,,1483.921753,26
99_3,False,,1483.921753,26
99_4,False,,1483.921753,26
100_1,True,,1480.23999,26
100_2,False,,1480.23999,26
100_3,False,,1480.23999,26
100_4,False,,1480.23999,26
100_5,False,,1480.23999,26
101_1,True,,679.5336914,48
101_2,False,,679.5336914,48
101_3,False,,679.5336914,48
101_4,False,,679.5336914,48
101_5,False,,679.5336914,48
101_6,False,,679.5336914,48
102_1,True,,1480.23999,26
102_2,False,,1480.23999,26
103_1,True,,962.1404419,46
104_1,True,,963.7158813,31
104_2,False,,963.7158813,31
104_3,False,,963.7158813,31
104_4,False,,963.7158813,31
104_5,False,,963.7158813,31
105_1,True,,663.3157959,13
105_2,False,,663.3157959,13
105_3,False,,663.3157959,13
105_4,False,,663.3157959,13
106_1,True,,691.5112915,25
106_2,False,,691.5112915,25
106_3,False,,691.5112915,25
107_1,True,,691.5112915,45
107_2,False,,691.5112915,45
107_3,False,,691.5112915,45
107_4,False,,691.5112915,45
108_1,True,,1013.601074,21
108_2,False,,1013.601074,21
108_3,False,,1013.601074,21
108_4,False,,1013.601074,21
108_5,False,,1013.601074,21
109_1,True,,659.7180786,12
109_2,False,,659.7180786,12
109_3,False,,659.7180786,12
110_1,True,,106.0568237,49
110_2,False,,106.0568237,49
110_3,False,,106.0568237,49
111_1,True,,2537.585693,39
111_2,False,,2537.585693,39
111_3,False,,2537.585693,39
112_1,True,,666.6879883,33
112_2,False,,666.6879883,33
112_3,False,,666.6879883,33
112_4,False,,666.6879883,33
112_5,False,,666.6879883,33
113_1,True,,273.0114441,9
113_2,False,,273.0114441,9
113_3,False,,273.0114441,9
114_1,True,,802.7727051,18
114_2,False,,802.7727051,18
114_3,False,,802.7727051,18
114_4,False,,802.7727051,18
114_5,False,,802.7727051,18
115_1,True,,666.6879883,47
115_2,False,,666.6879883,47
115_3,False,,666.6879883,47
116_1,True,,1034.289795,21
116_2,False,,1034.289795,21
117_1,True,,1483.921753,26
117_2,False,,1483.921753,26
118_1,True,,963.3539429,31
118_2,False,,963.3539429,31
119_1,True,,666.6879883,11
